OTU	rel.abund.	group	Phylum	Family	Genus	Species	label
ASV_6wb_da0_3db	0.00723179816214453	Smoker baseline	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.0496982219563917	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.012179870588875	Smoker baseline	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.0244684900222935	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.0145179707465608	Smoker baseline	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0143548474797455	Smoker baseline	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
ASV_pfp_n0y_4su	0.00641618182806808	Smoker baseline	Bacteroidota	Prevotellaceae	Prevotella_7	salivae	Prevotella_7 <br>salivae
ASV_qwa_h7y_hxz	0.0617693437007232	Smoker baseline	Firmicutes	Streptococcaceae	Streptococcus	NA	Streptococcus sp. <br>ASV_qwa_h7y_hxz
ASV_1vt_h8b_4qs	0.0104793203943697	M6 smoking cessation	Actinobacteriota	Actinomycetaceae	Actinomyces	graevenitzii	Actinomyces <br>graevenitzii
ASV_6wb_da0_3db	0.00514664847770819	M6 smoking cessation	Firmicutes	Veillonellaceae	Megasphaera	micronuciformis	Megasphaera <br>micronuciformis
ASV_7w6_t4q_x00	0.0504743597693309	M6 smoking cessation	Firmicutes	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	Streptococcus sp. <br>ASV_7w6_t4q_x00
ASV_9i4_15j_91n	0.00570471879456812	M6 smoking cessation	Proteobacteria	Neisseriaceae	Neisseria	cinerea/flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	Neisseria sp.
ASV_dvw_6oa_8gj	0.03298815650772	M6 smoking cessation	Bacteroidota	Prevotellaceae	Prevotella_7	histicola	Prevotella_7 <br>histicola
ASV_e54_2dz_d7f	0.0084330625658833	M6 smoking cessation	Bacteroidota	Porphyromonadaceae	Porphyromonas	pasteri	Porphyromonas <br>pasteri
ASV_ivt_f41_sgz	0.0430954300241831	M6 smoking cessation	Fusobacteriota	Fusobacteriaceae	Fusobacterium	periodonticum	Fusobacterium <br>periodonticum
