visitId	value	id
M0	0	1
M2	0.410541314913551	1
M4	0.176330574163122	1
M6	-0.226239017123475	1
M0	0	2
M2	-0.703079733932569	2
M4	-0.661400064875159	2
M6	-0.988628012011649	2
M0	0	3
M2	-0.430598223272918	3
M4	-0.977590341953692	3
M6	0.21515615847857	3
M0	0	4
M2	-0.395711126990729	4
M4	-0.822697661552895	4
M6	0.251211607555269	4
M0	0	5
M2	-0.639328124058369	5
M4	-0.336042045607913	5
M6	-1.02710087627091	5
M0	0	6
M2	-0.791693937969027	6
M4	-0.689875550785172	6
M6	-0.858889723997846	6
M0	0	7
M2	-1.97064887395875	7
M4	-0.813338221069228	7
M6	-2.45709717347363	7
M0	0	8
M2	-0.247382409696288	8
M4	-0.206099974992346	8
M6	-0.543242905579249	8
M0	0	9
M2	0.0702754896507064	9
M4	1.33357982401958	9
M6	-0.443526714435069	9
M0	0	10
M2	-0.578164448624458	10
M4	-0.617760420649845	10
M6	-0.843788081225987	10
M0	0	11
M2	-0.196766573609771	11
M4	0.476448851405477	11
M6	-0.204010630138043	11
M0	0	12
M2	-0.451611999908602	12
M4	-0.311161353341164	12
M6	0.964904208333777	12
M0	0	13
M2	-0.475822750245329	13
M4	-0.0530960170489582	13
M6	-0.597490003950002	13
M0	0	14
M2	-0.0302252808842341	14
M4	0.075488104932843	14
M6	0.0120816290667782	14
M0	0	15
M2	-0.226247824330436	15
M4	-0.00290574650231334	15
M6	-0.0863728465586909	15
M0	0	16
M2	-0.215569550877926	16
M4	-0.759269527710056	16
M6	-0.677882035609374	16
M0	0	17
M2	0.171213022348249	17
M4	-0.0548481373739086	17
M6	-0.189261701192916	17
M0	0	18
M2	-0.408811959381736	18
M4	-0.235714988554602	18
M6	-0.162596173836572	18
M0	0	19
M4	-1.11423202985112	19
M6	-1.09880984056525	19
M2	-1.3800121750377	19
M0	0	20
M2	-0.0739114775352113	20
M4	-0.186366727248819	20
M6	0.284739300755109	20
M0	0	21
M2	-0.5987833375417	21
M4	-1.53964997650545	21
M6	-1.34772635454114	21
