value	smoking_current
1.21449150642908	no
1.11685935210265	no
1.11478987466766	no
1.31553942722476	no
1.24974976749001	no
1.14883422301822	no
1.39877329160491	no
1.25724720833158	no
1.33404058718726	no
1.0872474092612	no
1.27626629535929	no
1.12060300654019	no
1.34642915595596	no
1.33186428034508	no
1.15653969554185	no
1.18069201636606	no
1.20433145260651	no
1.3230581516736	no
1.25589222013705	no
1.25725824092334	no
1.18019375898533	no
1.35225594052402	no
1.196633658076	no
1.16997863750504	no
1.07060865426354	no
1.36750054347972	no
1.17939923895057	no
1.14264820014984	no
1.15227219307858	no
1.2735007164941	no
0.983765057653674	no
1.18364044016504	no
1.16394665806954	no
1.31777007332807	no
1.00568860355785	no
1.45940430659608	no
1.23558627515266	no
1.31564638326839	no
1.30208938935355	no
1.23628089556587	no
1.29267730543981	no
1.04942995160674	no
1.16201274716189	no
1.07098922030159	no
1.18407395040466	no
1.35044393687836	no
1.26724097762131	no
1.4008928476895	no
0.9450186956179	no
1.16564174444954	no
1.39789617144035	no
1.14150608109586	no
1.06493262366524	no
1.23663952224095	no
1.15796198613458	no
1.24923988326192	no
1.19551732369351	no
1.22320841387765	no
1.07767651307443	no
1.06254570637297	no
1.33563478203639	no
1.05195756792195	no
1.39387884732438	no
1.1238265375504	no
1.43205548494742	no
1.13158507762443	no
1.25629917030833	no
1.40994250658755	no
1.06938125547725	no
1.05165242775159	no
1.21386975143781	no
1.05941442704475	no
1.10391986210375	no
1.02696731250328	no
1.29331160709613	no
1.23138909974582	no
1.1777302071512	no
1.37352263162302	no
1.25330373919467	no
1.24760788589525	no
1.17001550582687	no
1.09943223626138	no
1.07723941280063	no
1.21370269671051	no
0.9654210639558	no
0.929730939555998	no
1.42403019435214	no
1.15430543101146	no
1.09594440923281	no
1.37919423798153	no
1.19527948483746	no
1.25158081562389	no
1.24091761442736	no
1.17828942862162	no
1.1392684308342	no
1.38927801992022	no
1.15135861764634	no
1.27979125010633	yes
1.51367771251529	yes
1.37884194579634	yes
1.22478989324877	yes
1.52607032892296	yes
1.38655696727954	yes
1.29940382138825	yes
1.4882708917899	yes
1.39941868775413	yes
1.31695212910505	yes
1.53261563707422	yes
1.29457597192042	yes
1.3736961596956	yes
1.41735413109575	yes
1.50405563148851	yes
1.56589405519475	yes
1.62056395457431	yes
1.31196612945746	yes
1.52471231824064	yes
1.33474652788185	yes
1.38423640742593	yes
1.40281660004596	yes
1.3659674644544	yes
1.3922674947584	yes
1.27422234438805	yes
1.36478101614822	yes
1.18027085136644	yes
1.61645136876522	yes
1.72191369155307	yes
1.4109951945863	yes
1.45034045378567	yes
1.38559518099335	yes
1.68196564334581	yes
1.51814739857787	yes
1.58897363533701	yes
