Groups	name	x	y
0	1	2.7725910785659	1.25784834069273
6	2	3.93394480505652	2.40526884135522
0	3	-3.39201373187672	-0.689795722146806
6	4	-4.5382765692073	-0.801594049584172
0	5	-0.0163280372992636	1.06004206481578
6	6	0.478361509940949	0.127431196593763
0	7	0.244943557173724	3.75689334781421
6	8	-0.58073833410758	2.42924010266516
0	9	-3.28028442452234	-2.19585025110955
6	10	-1.95594255138951	-1.54922291792024
0	11	-4.44932810996737	4.12155093085887
6	12	-2.03249944260802	2.4550663768313
0	13	-4.30762292199649	1.12644451810966
6	14	-4.93356057881869	1.07150632452399
0	15	3.74136595184567	-5.66647998757513
6	16	4.29298827579864	-4.88801634999087
0	17	0.674701291498998	-0.0624112307651648
6	18	0.037303388549617	-1.19269088960599
0	19	4.17237468162613	2.69061582752879
6	20	5.13829662547325	3.83011617610059
0	21	1.36045362613105	0.831080310532332
6	22	1.17361648133925	-1.12860400299231
0	23	-3.31092888667504	4.08282684422712
6	24	-3.3816543544232	2.15681662790366
0	25	-3.50019656484191	0.861878077022646
6	26	-4.31583661381045	-1.07174002076382
0	27	-1.8063261796582	-3.07209748445
6	28	-2.92061445807114	-2.73722736719716
0	29	-0.358794392347862	-0.665297511823156
6	30	-0.150472838310132	2.57953332913555
0	31	3.93392436170815	0.222788776618836
6	32	2.73160436006793	-3.54720422403126
0	33	2.62645140428584	0.27089151405872
6	34	2.65122992264995	-0.233127191453312
0	35	-3.31958669164763	2.55406564590804
6	36	-2.63965211195757	-0.699243997162724
0	37	-2.18932285762183	1.03194758351419
6	38	-0.94353273817753	-0.849835795571446
0	39	5.51572568278413	-3.25574609692176
6	40	4.27766870670292	-5.43199964644346
0	41	-2.42894750134875	-3.20385842456027
6	42	-2.05563327361061	-2.52232341421035
0	43	10.9703283839407	3.16998353712029
6	44	9.40321601725515	2.58803460802343
0	45	-2.68725601471121	-2.07401733259502
6	46	-2.62290191015867	-1.50461568379781
0	47	-0.00586803646114605	1.63131325028733
6	48	-2.00696998676819	0.729815440429678
