visitId	value	id
M0	0	1
M2	0.836769460911211	1
M4	-0.271952043730007	1
M6	-0.428265468993294	1
M0	0	2
M2	0.0756549206907933	2
M4	-0.184739674625022	2
M6	-0.510368622418109	2
M0	0	3
M2	-0.523005593058874	3
M4	-0.0378556337677842	3
M6	-0.273277502091662	3
M0	0	4
M2	-0.773968523071642	4
M4	-1.01099458092847	4
M6	-0.992570672512616	4
M0	0	5
M2	0.174573550132679	5
M4	0.158875428228512	5
M6	0.210861521382892	5
M0	0	6
M2	-0.18292476227444	6
M4	-1.38483168436019	6
M6	-1.23572963786749	6
M0	0	7
M2	0.513907926348034	7
M4	0.386467281573016	7
M6	0.240939661962701	7
M0	0	8
M2	0.898373623018951	8
M4	-0.0646555101380452	8
M6	0.0718772700161878	8
M0	0	9
M2	0.242373267925778	9
M4	1.54102724922314	9
M6	-0.165136149165733	9
M0	0	10
M2	0.162689774980716	10
M4	-0.21224734245448	10
M6	-0.244256536254999	10
M0	0	11
M2	1.16907411738123	11
M4	0.464140046245015	11
M6	0.303823892106541	11
M0	0	12
M2	-0.160859082765002	12
M4	-0.160288441631409	12
M6	-0.246374401349933	12
M0	0	13
M2	-0.83983812648062	13
M4	-0.659025922363698	13
M6	-0.898439090034872	13
M0	0	14
M2	-0.439003127202497	14
M4	-0.317074072323427	14
M6	0.299387596764218	14
M0	0	15
M2	1.97177448049443	15
M4	1.5381671511842	15
M6	0.720858225154129	15
M0	0	16
M2	-1.27146779489198	16
M4	-1.21642490804222	16
M6	-0.355486712486449	16
M0	0	17
M2	0.0905413107190535	17
M4	-0.327960076301007	17
M6	0.442689041903151	17
M0	0	18
M2	0.100206615071198	18
M4	-0.0844252583081474	18
M6	0.404697024531981	18
M0	0	19
M2	-0.452755099263064	19
M4	-0.238117975766292	19
M6	-0.338183410632866	19
M0	0	20
M2	-1.09949450465229	20
M4	-0.699362224543489	20
M6	-0.662623679516197	20
M0	0	21
M2	-0.903329966680515	21
M4	-0.780243118463782	21
M6	-0.538155457258828	21
M0	0	22
M2	0.303668347772244	22
M4	-0.314737605833623	22
M6	-0.481065897994788	22
M0	0	23
M2	0.129759159682056	23
M4	-0.335358802079569	23
M6	-0.437194128251799	23
