Dim.1	Dim.2	Dim.3	Dim.4	Dim.5
1.6253812650358	0.0973931237967818	1.33735030879627	0.476716150924769	6.415647295726
0.484187212118114	1.48369655514853	4.56252921329204	1.24013343390465	4.98662589905897
1.15127604168451	1.01378634269034	6.35929216143112	0.371145371660948	4.8036275426727
1.46027715335822	1.62282438900087	3.64841767700903	0.0662044192639505	4.6785746971446
0.0480057113431198	2.59681131439867	2.5525670839263	0.0420042848392209	4.48570169910373
1.54134374404314	8.82731159795447	0.0040304742571032	0.17336735583983	0.396214790693801
0.434648843648214	8.57169736594042	0.980089472397043	1.61118929072919	0.0101729939952738
1.26063736469983	6.52514904525075	0.0249916897933003	0.775675663019075	1.82768271895043
2.07473152140581	5.99339686257619	1.85190020132553	0.0672400742710083	1.91845882571312
0.527168301008897	5.54579087374818	0.246268067137759	3.40940429212019	0.244944912987818
