time	group	Factor1	Factor2	Factor3
M0	S	1.05201244354248	-0.202438324689865	0.905253171920776
M2	S	1.13350939750671	-0.0565119981765747	0.776556730270386
M4	S	1.05650210380554	-0.0409177429974079	0.646947145462036
M6	S	0.672889053821564	0.315117985010147	0.433783739805222
M0	S	0.172646805644035	-1.36615335941315	0.808370232582092
M2	S	-0.141507849097252	-1.78285789489746	0.43297877907753
M4	S	0.0290779992938042	-1.63723635673523	0.989169895648956
M6	S	0.263067930936813	-1.71879875659943	0.604778468608856
M0	S	0.581655859947205	-1.11299204826355	0.865418553352356
M2	S	0.363822162151337	-1.07196533679962	-0.196910679340363
M4	S	0.271063089370728	-1.73796308040619	0.130955055356026
M6	S	0.289029598236084	-1.47030866146088	-1.00746464729309
M0	S	-0.745962977409363	1.34643948078156	1.2296644449234
M2	S	-0.48816454410553	1.08840489387512	1.59178745746613
M0	S	0.551804780960083	-0.283458977937698	0.445679724216461
M2	S	0.703952193260193	-0.506494104862213	0.196929603815079
M4	S	1.00321710109711	-0.844170093536377	0.643737733364105
M6	S	0.635744750499725	-0.722171723842621	0.434233695268631
M0	S	-1.02263057231903	0.210310325026512	-0.447333186864853
M2	S	-0.361871540546417	0.387147516012192	-0.267289847135544
M4	S	-0.536563158035278	0.412702262401581	-0.0304392427206039
M0	S	0.777114391326904	-0.277554392814636	0.113175958395004
M2	S	0.869413077831268	-0.788344979286194	-0.277151674032211
M0	S	0.0358390919864178	1.3423638343811	-0.514986515045166
M2	S	-0.372356384992599	1.60472130775452	0.424443334341049
M4	S	-0.110002651810646	1.35921370983124	0.141675904393196
M0	S	-1.10861194133759	0.0183942802250385	-1.82270991802216
M2	S	-1.17753672599792	-0.278606951236725	-0.818926095962524
M4	S	-1.14947307109833	-0.303202003240585	-2.11255049705505
M6	S	-1.05327188968658	-0.214668065309525	-2.26862573623657
M0	S	-0.364898085594177	0.0834535360336304	0.752829015254974
M2	S	-0.574381351470947	-0.111126929521561	0.823794484138489
M4	S	-0.640755236148834	-0.0337641835212708	1.01045072078705
M6	S	-0.49620646238327	0.225521922111511	0.414408922195435
M0	S	-1.62624740600586	-0.0944016799330711	0.392838269472122
M2	S	-1.87745571136475	0.152922585606575	0.471207708120346
M4	S	-1.88083291053772	0.290907919406891	0.934245944023132
M6	S	-1.86571097373962	-0.284861296415329	0.789830982685089
M0	S	-0.636025369167328	-0.743676066398621	-0.119908951222897
M2	S	-0.571151673793793	-0.887876272201538	-1.38633501529694
M0	S	0.618794679641724	-1.22462046146393	-1.14670920372009
M2	S	0.768069326877594	-1.25471889972687	-1.26922833919525
M4	S	0.602165818214417	-1.19099521636963	-1.23078107833862
M6	S	0.516529977321625	-1.66375768184662	-1.60974156856537
M0	S	-0.764723420143127	1.8477566242218	1.14532291889191
M2	S	-0.983272314071655	1.53758370876312	0.847296535968781
M4	S	-0.718442440032959	1.46852135658264	1.26801311969757
M0	S	1.1043176651001	2.35886335372925	-0.802747130393982
M2	S	0.798040091991425	1.68564760684967	-1.1306529045105
M4	S	1.10154592990875	1.74426782131195	-1.22895431518555
M6	S	0.68100106716156	1.36247503757477	-0.743134737014771
M0	S	-1.34449338912964	0.215367391705513	0.637606859207153
M2	S	-1.3929957151413	0.253811419010162	0.592018306255341
M4	S	-1.30671274662018	0.122696414589882	0.529813706874847
M6	S	-1.44265997409821	0.204725354909897	0.773383855819702
M0	S	0.958194494247437	-0.0159977916628122	-1.30270457267761
M2	S	1.15296626091003	0.129945024847984	-0.992332816123962
M4	S	1.43892323970795	-0.191861838102341	-0.618413209915161
M0	S	0.111860133707523	-0.388093650341034	0.451895028352737
M2	S	-0.0625448152422905	-0.736718535423279	1.45208561420441
M4	S	0.0138823315501213	-1.02922260761261	1.35167801380157
M6	S	0.0910951122641563	-1.45433187484741	1.30784451961517
M0	S	-1.24205029010773	-0.391785621643066	-0.571491658687592
M2	S	-0.625361740589142	-1.29346346855164	-1.21690845489502
M4	S	-0.126412227749825	-1.11418271064758	-0.434520244598389
M6	S	-0.458629906177521	-0.905221104621887	-0.644605159759521
M0	S	-1.34508550167084	0.262222677469254	0.847059190273285
M2	S	-1.08902275562286	0.217273160815239	1.4636846780777
M4	S	-1.21437537670135	-0.268028229475021	0.887006402015686
M6	S	-0.833918988704681	0.126509159803391	0.52068167924881
M0	S	-0.720197379589081	0.413262963294983	0.852695882320404
M2	S	-0.320488572120667	0.436719655990601	0.762269079685211
M0	S	1.78894305229187	0.752260506153107	0.736031174659729
M2	S	1.83483278751373	0.555957674980164	0.48588827252388
M4	S	1.82674086093903	0.40089139342308	0.391675770282745
M0	S	-1.18496549129486	-0.0801504328846931	0.515681147575378
M2	S	-0.47631910443306	0.0701271891593933	-0.0363730005919933
M0	S	-0.667415797710419	0.140342518687248	0.593736946582794
M2	S	-0.88173121213913	-0.235746175050735	1.08791637420654
M0	S	0.501721560955048	0.167936190962791	-0.633919477462769
M2	S	0.503970742225647	0.201489716768265	-0.486826717853546
M4	S	0.557135343551636	-0.146396696567535	-0.517454743385315
M6	S	0.359262257814407	-0.222963556647301	-0.880349397659302
M0	S	0.941568374633789	0.798583149909973	-0.823437571525574
M2	S	0.858253479003906	0.970074474811554	-1.11811113357544
M4	S	0.81994903087616	0.849194228649139	-1.144815325737
M0	S	-0.314215451478958	0.934489071369171	1.30084562301636
M2	S	-0.24897974729538	0.402921676635742	1.06116676330566
M0	S	-1.05683064460754	0.450514823198318	0.978891015052795
M2	S	-1.28337752819061	0.668982744216919	0.436226308345795
M0	S	0.250866651535034	0.360601812601089	0.617384195327759
M2	S	0.473331063985825	0.308327794075012	0.650669515132904
M4	S	0.458660870790482	-0.0702409818768501	1.39335083961487
M0	S	1.99020230770111	1.34220612049103	-0.510616600513458
M2	S	1.90276277065277	1.01759600639343	0.171314403414726
M4	S	1.78088808059692	1.09370899200439	-0.318987250328064
M6	S	2.02866578102112	1.3630223274231	-0.659255743026733
M0	S	0.356002956628799	-0.784933090209961	-1.76033616065979
M2	S	0.46252977848053	-0.960310161113739	-1.23550415039062
M4	S	0.468910336494446	-0.86318027973175	-1.56682288646698
M6	S	0.35023096203804	-0.794819056987762	-1.89516282081604
