PC1	PC2	PC3	PC4	PC5
1.59672408031359	4.5801780813097	3.08913608597851	1.57880525530049	4.80334290192254
NA	NA	NA	NA	NA
NA	NA	1.84804685702805	NA	NA
NA	NA	NA	NA	NA
NA	NA	2.67825885748039	NA	4.6469126646381
1.38814435458882	1.69824035692923	NA	NA	1.59105873028953
NA	NA	1.49145809199962	2.04373369758864	NA
NA	1.9989356607057	NA	NA	3.15083043870094
NA	1.4349416270562	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	4.36677194356346
