visitId	value	id
M0	0	1
M2	0.318567151600493	1
M4	-0.104170478150128	1
M6	-0.469036981964753	1
M0	0	2
M2	0.504733739302872	2
M4	0.159899158072095	2
M6	0.315286067235818	2
M0	0	3
M2	-0.852681096684505	3
M4	0.227173402126819	3
M6	-0.147164963435831	3
M0	0	4
M2	-0.151692280450766	4
M4	-0.297337896056516	4
M6	-0.303633722990783	4
M0	0	5
M2	-0.108264257895158	5
M4	0.334094690543308	5
M6	-0.426850432917062	5
M0	0	6
M2	-0.909147408394897	6
M4	0.714771013317943	6
M6	-0.100071720483898	6
M0	0	7
M2	-0.478439252076195	7
M4	-0.637709045055479	7
M6	-0.687261136894432	7
M0	0	8
M2	0.496625716252836	8
M4	0.200487802535199	8
M6	-0.720981102021986	8
M0	0	9
M2	-0.155289164857129	9
M4	-0.106772339105012	9
M6	-0.140023323500963	9
M0	0	10
M2	0.676788972452971	10
M4	-0.167886053659225	10
M6	0.0295360872031726	10
M0	0	11
M2	-0.712168351417704	11
M4	-0.609166962117567	11
M6	-0.437774426471066	11
M0	0	12
M2	-1.39997299930396	12
M4	-1.01848425520494	12
M6	-1.69459977350795	12
M0	0	13
M2	0.802839493944987	13
M4	0.154657375127133	13
M6	0.0127722091126159	13
M0	0	14
M2	0.588281755408387	14
M4	-0.048807855767857	14
M6	0.0817288435169478	14
M0	0	15
M2	0.96657829056794	15
M4	-0.640155585817797	15
M6	-0.633068600867909	15
M0	0	16
M2	0.293548745845262	16
M4	0.199021823923575	16
M6	-0.160581523044214	16
M0	0	17
M2	-0.232700036625645	17
M4	-0.134487831487455	17
M6	-0.203058455743328	17
M0	0	18
M2	0.651097172918016	18
M4	-0.0926200293031825	18
M6	-0.446545893587627	18
M0	0	19
M2	-0.0857981043301153	19
M4	0.430090839592351	19
M6	-0.388511553504939	19
M0	0	20
M2	-0.750917264213341	20
M4	-0.0374387934630829	20
M6	-0.00450365448046275	20
M0	0	21
M2	-0.282484450707336	21
M4	-0.29237692776675	21
M6	-0.297256435890848	21
M0	0	22
M2	0.106617050301511	22
M4	0.447917843406106	22
M6	0.360793407358779	22
M0	0	23
M2	-0.228588801438631	23
M4	-0.451622849361925	23
M6	-0.239204417509118	23
