sampletype	type	rowname	value
buccal	Never smoker (control)	distal_epithelial_hyperM	1.05583610574673
buccal	Never smoker (control)	epithelial_hypoM	-0.904063539505887
buccal	Never smoker (control)	immune_hypoM	-1.76169915367926
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.565572388946142
buccal	Never smoker (control)	distal_epithelial_hyperM	0.655186632557988
buccal	Never smoker (control)	epithelial_hypoM	-0.787643149597388
buccal	Never smoker (control)	immune_hypoM	-1.74100248818893
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.684691640150824
buccal	Never smoker (control)	distal_epithelial_hyperM	0.0911989183318308
buccal	Never smoker (control)	epithelial_hypoM	-0.332933127095929
buccal	Never smoker (control)	immune_hypoM	-0.663769186079549
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.333057326981638
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.417287928328547
buccal	Never smoker (control)	epithelial_hypoM	-0.53427498576861
buccal	Never smoker (control)	immune_hypoM	-0.978080412576742
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.364507066094912
buccal	Never smoker (control)	distal_epithelial_hyperM	0.318013125761863
buccal	Never smoker (control)	epithelial_hypoM	-0.952700092017634
buccal	Never smoker (control)	immune_hypoM	-0.959739781636481
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.105800704589883
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.147879273057944
buccal	Never smoker (control)	epithelial_hypoM	-0.525685706343472
buccal	Never smoker (control)	immune_hypoM	-1.21446527853832
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.231931067464822
buccal	Never smoker (control)	distal_epithelial_hyperM	0.20485167335578
buccal	Never smoker (control)	epithelial_hypoM	-0.805234724065347
buccal	Never smoker (control)	immune_hypoM	-0.871488679079245
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.827796399306326
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.22312475653591
buccal	Never smoker (control)	epithelial_hypoM	0.400659098968025
buccal	Never smoker (control)	immune_hypoM	0.380420120931631
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.694857897789519
buccal	Never smoker (control)	distal_epithelial_hyperM	0.025229234679649
buccal	Never smoker (control)	epithelial_hypoM	-0.555795615189546
