M2	M4	M6	diff_M2	diff_M4	diff_M6
-0.100472981603844	-0.146616770237913	-0.191134726747768	-0.0449903021502098	0.136087328234446	-0.150337101509871
-0.0807309806259319	-0.063179312009937	-0.0326283423004022	-0.148871884791371	-0.131224965797769	0.00350475600499636
-0.0220180602288928	0.0143123373822238	-0.0612590491297309	-0.0759622933561514	-0.0394668653455693	-0.0968894925949263
0.0636616829044781	-0.0541477541054674	-0.173674468395413	-0.54568688387581	-0.0502411977902699	-0.257747953485766
-0.0329786793266806	-0.0619680058845312	-0.234446310309254	-0.197137643956942	-0.10433562965247	0.144181596585157
-0.65149168560988	1.29296397669874	0.317452948457297	-3.82560194815568	-2.59535328304	-1.07243562515611
-0.0355616872176592	-0.026146611851103	0.0761649518290861	0.334393944295613	0.367807373474504	0.50149382438184
-0.417193678428702	-0.309233823424415	-0.300491032459919	0.566826332884507	0.366713035597732	0.218508282857364
-0.0336453411362605	-0.0306913723166731	-0.096849486476206	-0.0468987780132661	0.170358695309857	0.0254506717397479
-0.107553796477475	-0.0284976826637441	-0.101426618327785	-0.201121210945376	-0.285336277334101	-0.283478865424843
0.00887734647436266	0.0191708512543949	-0.0625747314895989	-0.325532692535842	-0.227542090849026	-0.179423303126394
0.748956458404241	0.176303060102485	-0.00731099335104075	1.06963784546241	0.289498808970558	0.577504145735048
-0.0916078098731383	-0.0999739942238413	-0.0801536212407798	0.113125798948238	-0.00219191003999768	0.236782806874314
0.000178545236260868	-0.0330970561257591	-0.0401726687742973	-0.0834072929415906	0.00394814302003716	0.03560746787112
0.0607940576026992	0.0375104604237671	-0.0331460686184438	-0.31728885071777	-0.068361214516653	-0.0272917816488668
-0.00570487420553594	-0.0103496901688702	-0.00975221266378571	0.00611370506205249	0.0201446482600524	0.0173659334758443
0.775646213409107	0.940332967720518	0.329500687188055	-7.3613807069505	-2.75688750753665	-0.594422724779033
-0.0108789211979418	-0.00924347115184633	-0.0936907069682892	0.0342417353083519	0.127628079073528	-0.0277947500715348
0.71784905396603	0.161563340590654	1.19457406265391	1.27535140154149	3.29865597696626	0.71859197114549
