Col.	x	y	id
M0	2.12549911619859	1.8766609676666	1
M2	2.24841156064292	2.18438936651308	1
M4	2.01355049765833	1.84492662773932	1
M6	2.93209151107222	4.50181374087827	1
M0	0.460745138277946	-0.460145682948109	2
M2	0.427626256365968	-1.81725062053423	2
M4	1.23809777457643	-1.38045302923747	2
M6	0.413460926464191	-0.964353141866991	2
M0	-0.521559585397167	-0.18249983744231	3
M2	-2.02261915149632	-1.27911425895074	3
M4	-2.16631842931963	-3.55685752780897	3
M6	-0.385571560299231	-1.66133163011832	3
M0	0.303701125033135	-0.357747670326478	4
M2	0.71419634435311	-0.543653065410257	4
M4	2.52762656543992	-2.16437915941515	4
M6	1.51865548980332	-1.22630272621764	4
M0	-1.96963934218612	-1.39816572481147	5
M2	-1.42462838302709	0.208999202138172	5
M4	-2.27284561132877	-0.624955243961096	5
M6	-2.16670434219099	-0.374173655913218	5
M0	-0.29190240183265	-1.60528008938721	6
M2	-0.105718763787141	-1.70970458261156	6
M4	-0.247852390644552	-0.56642387439094	6
M6	-0.0168994462993093	-2.5285213828891	6
M0	1.68766758954002	-3.14382887187606	7
M2	1.57832555690273	-2.16652762133011	7
M4	2.16875804668744	-1.54633595044398	7
M6	2.94606863322841	-0.305508700056345	7
M0	0.235885073551162	2.32465591538986	8
M2	0.777880301225176	2.23102575634706	8
M4	0.826192004909805	2.54378886378021	8
M6	0.175003858585363	1.8102741962656	8
M0	-6.76450720247771	5.44650032221348	9
M2	-5.41886329972052	2.00097691870116	9
M4	-6.12048954334121	4.38982557108479	9
M6	-5.83461237497542	1.26394613435459	9
M0	-0.452810896398552	-4.075102691237	10
M2	-0.313509357221803	-3.77523363376251	10
M4	-0.220854401785554	-3.10231376862637	10
M6	0.506629806280064	-2.52712826267246	10
M0	0.143643411379751	0.104712089112036	11
M2	0.785100729828684	-0.789736358040846	11
M4	1.13011813894074	-1.59704319343936	11
M6	0.78617636344181	-1.40428055304332	11
M0	-0.0920535239166645	0.0955512340422047	12
M2	-0.641494845332827	-1.39095039757036	12
M4	1.15352538144463	1.21200338165899	12
M6	-0.597790913676307	-1.22365722506497	12
M0	2.13396763946374	0.409820063257762	13
M2	4.54464100588511	2.36626754740615	13
M4	2.14446861859446	0.782928252528417	13
M6	1.43678110484717	0.168287888541313	13
M0	0.0240755950751336	0.703811835125614	14
M2	2.79433803421165	1.9537305304927	14
M4	2.46804885372367	1.3658020611617	14
M6	2.1679417523667	1.28685222523337	14
M0	0.171136923232552	0.194688569318234	15
M2	1.1722772130748	1.64566381625449	15
M4	0.952755870305489	0.948259609949695	15
M6	0.934765237434428	1.56399822881196	15
M0	-1.36337612773454	0.352831171012921	16
M2	-0.91832023889276	0.719601219160592	16
M4	-0.442829426938116	1.06994574708649	16
M6	-1.1590119945607	0.320141110811986	16
M0	-3.70582557141691	-0.406264079284231	17
M2	-4.01547118963107	-0.891547666359691	17
M4	-3.30746241214512	-1.30743571038792	17
M6	-2.66237048426143	-0.740413663011907	17
M0	-0.778210144779596	0.00582522556745321	18
M2	-0.644693903047792	-0.528199729520001	18
M4	-0.282210958906443	-0.212377043464917	18
M6	-0.8521544729051	-0.451454433343658	18
M0	1.05122982156566	1.17694051345525	19
M2	1.25709638808455	-0.514692247069065	19
M4	0.545675540156037	-0.542772440903499	19
M6	0.067533884756642	-0.936534903165766	19
M0	3.56738636887731	1.29417677348932	20
M2	3.96915747881311	0.563757868235787	20
M4	3.34598765248127	0.191328020814571	20
M6	4.11397083077192	1.59971040069788	20
M0	0.277606615910839	-0.860049866838606	21
M2	-1.80184707549279	-1.59487269048151	21
M4	-1.63395636054705	-0.896392258772502	21
M6	-1.25607449452739	-0.776328614379905	21
M0	-0.897024936157395	0.253360038657262	22
M2	-0.748115645915323	2.25488729533186	22
M4	-1.88285564878459	0.0885535394646586	22
M6	-1.80347005224548	0.908714280667141	22
M0	0.430741597911923	0.277792342701859	23
M2	-0.35424228211593	0.164320347467614	23
M4	-0.51762784208932	0.419246397482881	23
M6	-0.13430574596707	0.607721867126006	23
M0	-0.585421769294234	-0.280356424545258	24
M2	-0.155501831931616	0.666129109270864	24
M4	0.936412720173664	1.84702510784391	24
M6	-0.381007572606422	0.176482610620244	24
