varname	Principal_coordinate	Value	plot
Never smoker (control)	pcoa2	5.06663470573658	control vs M6
Never smoker (control)	pcoa1	-14.7580481596876	control vs M6
Never smoker (control)	pcoa2	-3.6698319035907	control vs M6
Never smoker (control)	pcoa1	5.61726669873149	control vs M6
Never smoker (control)	pcoa2	-3.79294825745081	control vs M6
Never smoker (control)	pcoa1	3.31010776412068	control vs M6
Never smoker (control)	pcoa2	1.73494574565955	control vs M6
Never smoker (control)	pcoa1	-7.15740799094948	control vs M6
Never smoker (control)	pcoa2	-2.51024990897637	control vs M6
Never smoker (control)	pcoa1	8.10717343471108	control vs M6
Never smoker (control)	pcoa2	6.22082420883665	control vs M6
Never smoker (control)	pcoa1	9.36916445859523	control vs M6
Never smoker (control)	pcoa2	5.36127940445337	control vs M6
Never smoker (control)	pcoa1	-6.04893415500632	control vs M6
Never smoker (control)	pcoa2	-9.13052210247218	control vs M6
Never smoker (control)	pcoa1	0.960250567853911	control vs M6
Never smoker (control)	pcoa2	0.486290008729071	control vs M6
Never smoker (control)	pcoa1	-21.1628969356704	control vs M6
Never smoker (control)	pcoa2	-4.87073208399525	control vs M6
Never smoker (control)	pcoa1	-17.6807945896189	control vs M6
Never smoker (control)	pcoa2	5.9423363370576	control vs M6
Never smoker (control)	pcoa1	-1.67346559138259	control vs M6
Never smoker (control)	pcoa2	-5.92560120117798	control vs M6
Never smoker (control)	pcoa1	9.63864590603228	control vs M6
Never smoker (control)	pcoa2	-9.63206690466828	control vs M6
Never smoker (control)	pcoa1	-7.03331652684617	control vs M6
Never smoker (control)	pcoa2	3.26377695705311	control vs M6
Never smoker (control)	pcoa1	-4.16657816753025	control vs M6
Never smoker (control)	pcoa2	-2.7028514655545	control vs M6
Never smoker (control)	pcoa1	2.42851541429069	control vs M6
Never smoker (control)	pcoa2	-5.79594185843785	control vs M6
M6 no smoking cessation	pcoa1	11.6086591044355	control vs M6
M6 no smoking cessation	pcoa2	-4.1061021113398	control vs M6
M6 smoking cessation	pcoa1	1.29320819231197	control vs M6
M6 smoking cessation	pcoa2	-16.1777694974654	control vs M6
M6 smoking cessation	pcoa1	11.1480690928334	control vs M6
M6 smoking cessation	pcoa2	-16.6337213820833	control vs M6
M6 smoking cessation	pcoa1	4.98005734979467	control vs M6
M6 smoking cessation	pcoa2	6.11907027892885	control vs M6
M6 smoking cessation	pcoa1	16.3468237468439	control vs M6
M6 smoking cessation	pcoa2	12.2005316930892	control vs M6
M6 no smoking cessation	pcoa1	-21.7731908359034	control vs M6
M6 no smoking cessation	pcoa2	-12.1689107340696	control vs M6
M6 smoking cessation	pcoa1	-2.51838126774777	control vs M6
M6 smoking cessation	pcoa2	25.9777478241379	control vs M6
M6 no smoking cessation	pcoa1	7.49349393671546	control vs M6
M6 no smoking cessation	pcoa2	-9.34419178194238	control vs M6
M6 no smoking cessation	pcoa1	16.7278823587492	control vs M6
M6 no smoking cessation	pcoa2	-7.02785994447341	control vs M6
M6 smoking cessation	pcoa1	13.1866989238126	control vs M6
M6 smoking cessation	pcoa2	8.11658890913096	control vs M6
