pcoa1	pcoa2	pcoa3	varname	plot
-7.17602290288571	5.51004657025217	2.92960296054852	Never smoker (control)	control vs M0
0.636927519664781	1.14298267084996	0.405943061395324	Never smoker (control)	control vs M0
1.34845836729104	-1.20661862314071	-6.43482088084523	Never smoker (control)	control vs M0
-2.08225752967642	2.53640689185925	2.46274685521809	Never smoker (control)	control vs M0
-6.45337103081678	1.6059368853279	-0.30903977822077	Never smoker (control)	control vs M0
6.67511613986528	-6.4319099361014	-0.0438698835472599	Never smoker (control)	control vs M0
-9.64694862834147	-8.11739540705193	2.70543773777374	Never smoker (control)	control vs M0
-1.23345015276455	1.91953742061771	-0.0935421239809393	Never smoker (control)	control vs M0
-0.95223071883889	5.07909670768689	-4.16416407001853	Never smoker (control)	control vs M0
2.26140379552107	1.69655512539205	-3.82096343479758	Never smoker (control)	control vs M0
-3.97793489941007	6.19160787173579	-1.61338433457596	Never smoker (control)	control vs M0
3.75899759811751	8.23033300424392	-2.0247528820041	Never smoker (control)	control vs M0
-5.51550582387235	7.78423468342841	-0.173961279805078	Never smoker (control)	control vs M0
-3.69374569102126	-0.548664207590145	-1.96494705755708	Never smoker (control)	control vs M0
-3.15096461640873	-3.34920671041809	1.29657625462488	Never smoker (control)	control vs M0
-2.95512581735044	-2.99634669025369	1.76436761711593	Never smoker (control)	control vs M0
-0.747310127660358	7.31974365442266	-1.64973262680968	Never smoker (control)	control vs M0
-8.28803741508138	-14.4791823345444	4.03331255838053	Never smoker (control)	control vs M0
-9.25149357872618	0.604152862532977	3.04953294313434	Never smoker (control)	control vs M0
-12.0985466162745	-13.0822407962235	7.39292535735956	Never smoker (control)	control vs M0
-14.9077490466199	4.17688309739747	2.8498768151502	Never smoker (control)	control vs M0
-7.6620890499964	-1.98225029181222	-0.869421225023485	Never smoker (control)	control vs M0
-6.5605499191485	2.81835961650878	-4.25196865321011	Never smoker (control)	control vs M0
2.99633525673043	1.90230256075363	-4.77863992146195	Never smoker (control)	control vs M0
17.5614868209314	-7.69178587289273	2.57769532009351	Smoker baseline	control vs M0
-3.13470307530058	-5.78970907103735	-4.05541165342961	Smoker baseline	control vs M0
-7.87086827250762	3.08814906734079	-3.01019709961524	Smoker baseline	control vs M0
-0.206251530254707	7.42645588112406	2.91992192752264	Smoker baseline	control vs M0
3.46093880722981	9.48446206720011	2.21849322652764	Smoker baseline	control vs M0
5.28812819003345	4.05007200821758	0.237988204533787	Smoker baseline	control vs M0
7.5557485123281	3.29810010259946	-2.09717209356431	Smoker baseline	control vs M0
3.66826865536979	-6.82507065773443	-2.30565696073146	Smoker baseline	control vs M0
6.86364462601974	7.60931437928232	9.06499290468818	Smoker baseline	control vs M0
3.46137600121693	6.71396521616523	-1.69843641523057	Smoker baseline	control vs M0
2.71464563210015	-8.84018067269045	1.02981054926685	Smoker baseline	control vs M0
2.12785637434186	4.03215469893025	-4.39290321151328	Smoker baseline	control vs M0
3.49711738854194	6.46067955774131	4.72639187517879	Smoker baseline	control vs M0
12.5681129803564	-9.58108678946599	-0.0830911423525136	Smoker baseline	control vs M0
11.0511341639325	5.27138040460055	10.0885552884033	Smoker baseline	control vs M0
-4.44395509487584	-11.7822295021324	-0.600724840870362	Smoker baseline	control vs M0
13.2164711639112	2.65206179036181	2.61082710632504	Smoker baseline	control vs M0
1.41181908161199	-3.41864544519661	-4.04042756774016	Smoker baseline	control vs M0
7.32131774673822	-4.38850082643692	-0.798963268375049	Smoker baseline	control vs M0
0.978641177040481	-7.17171601761353	-1.37779973993251	Smoker baseline	control vs M0
-11.5756573985344	9.34038592574347	-0.510995778495157	Smoker baseline	control vs M0
13.4662863748353	-3.17219889265613	-3.58255733607489	Smoker baseline	control vs M0
2.48061430781868	-2.33014789998887	0.647619527269923	Smoker baseline	control vs M0
-2.78607774518115	-4.76027407733503	-4.26507283072788	Smoker baseline	control vs M0
4.20083474436847	-0.108658261098127	0.383827819708736	Never smoker (control)	control vs M6
-0.754987852082633	1.72626642277636	0.941426445546152	Never smoker (control)	control vs M6
-0.72561258942316	-1.35621616039664	-4.31497766907588	Never smoker (control)	control vs M6
-1.11822411040306	-0.243558565018565	0.980913389084441	Never smoker (control)	control vs M6
5.77152715800631	-1.03587809794974	-1.8358793371259	Never smoker (control)	control vs M6
-10.6092031512114	-8.92547660905461	0.762515201716192	Never smoker (control)	control vs M6
6.59527869224513	-8.96978177216991	-0.988508140145465	Never smoker (control)	control vs M6
2.61474112408503	6.74874187710504	5.71433810735142	Never smoker (control)	control vs M6
-0.000839841577109063	7.16153368107377	-1.37183987095443	Never smoker (control)	control vs M6
-2.97749155964849	3.42042759664937	-2.88061262440903	Never smoker (control)	control vs M6
5.0498148164586	7.474087427875	0.665291180549133	Never smoker (control)	control vs M6
-5.1480114563426	8.00091527909449	-0.820340900854163	Never smoker (control)	control vs M6
4.93060227600314	5.79401541169715	-0.286908134353286	Never smoker (control)	control vs M6
2.35628292445641	-1.57466031662551	-2.637312209769	Never smoker (control)	control vs M6
1.37247111392713	-4.84734050153802	-1.54982883546757	Never smoker (control)	control vs M6
5.42950472267351	1.00062698672389	3.01082209556239	Never smoker (control)	control vs M6
-1.72037423067484	6.02921034736835	-1.07113596317049	Never smoker (control)	control vs M6
7.67554080993972	-14.5356783938309	0.62919621325638	Never smoker (control)	control vs M6
8.10780797569041	-0.661289463240486	1.45780978062763	Never smoker (control)	control vs M6
11.2609683961781	-15.2581102125566	3.96917774946323	Never smoker (control)	control vs M6
14.018581582806	3.23721490683964	4.19239203781528	Never smoker (control)	control vs M6
