varname	Principal_coordinate	Value	plot
Never smoker (control)	pcoa2	-8.96978177216991	control vs M6
Never smoker (control)	pcoa1	2.61474112408503	control vs M6
Never smoker (control)	pcoa2	6.74874187710504	control vs M6
Never smoker (control)	pcoa1	-0.000839841577109063	control vs M6
Never smoker (control)	pcoa2	7.16153368107377	control vs M6
Never smoker (control)	pcoa1	-2.97749155964849	control vs M6
Never smoker (control)	pcoa2	3.42042759664937	control vs M6
Never smoker (control)	pcoa1	5.0498148164586	control vs M6
Never smoker (control)	pcoa2	7.474087427875	control vs M6
Never smoker (control)	pcoa1	-5.1480114563426	control vs M6
Never smoker (control)	pcoa2	8.00091527909449	control vs M6
Never smoker (control)	pcoa1	4.93060227600314	control vs M6
Never smoker (control)	pcoa2	5.79401541169715	control vs M6
Never smoker (control)	pcoa1	2.35628292445641	control vs M6
Never smoker (control)	pcoa2	-1.57466031662551	control vs M6
Never smoker (control)	pcoa1	1.37247111392713	control vs M6
Never smoker (control)	pcoa2	-4.84734050153802	control vs M6
Never smoker (control)	pcoa1	5.42950472267351	control vs M6
Never smoker (control)	pcoa2	1.00062698672389	control vs M6
Never smoker (control)	pcoa1	-1.72037423067484	control vs M6
Never smoker (control)	pcoa2	6.02921034736835	control vs M6
Never smoker (control)	pcoa1	7.67554080993972	control vs M6
Never smoker (control)	pcoa2	-14.5356783938309	control vs M6
Never smoker (control)	pcoa1	8.10780797569041	control vs M6
Never smoker (control)	pcoa2	-0.661289463240486	control vs M6
Never smoker (control)	pcoa1	11.2609683961781	control vs M6
Never smoker (control)	pcoa2	-15.2581102125566	control vs M6
Never smoker (control)	pcoa1	14.018581582806	control vs M6
Never smoker (control)	pcoa2	3.23721490683964	control vs M6
Never smoker (control)	pcoa1	7.55669270611785	control vs M6
Never smoker (control)	pcoa2	0.390049693935343	control vs M6
Never smoker (control)	pcoa1	6.42312308523685	control vs M6
Never smoker (control)	pcoa2	6.84781822751412	control vs M6
Never smoker (control)	pcoa1	-3.26646492325653	control vs M6
Never smoker (control)	pcoa2	4.53068879540968	control vs M6
M6 no smoking cessation	pcoa1	-11.4677788400073	control vs M6
M6 no smoking cessation	pcoa2	1.35301871124699	control vs M6
M6 smoking cessation	pcoa1	4.5621570243958	control vs M6
M6 smoking cessation	pcoa2	-6.27022803069975	control vs M6
M6 smoking cessation	pcoa1	9.44900863486181	control vs M6
M6 smoking cessation	pcoa2	1.25017551908857	control vs M6
M6 smoking cessation	pcoa1	2.04117243904212	control vs M6
M6 smoking cessation	pcoa2	6.99098470282801	control vs M6
M6 smoking cessation	pcoa1	-3.34796288927906	control vs M6
M6 smoking cessation	pcoa2	6.50064059941973	control vs M6
M6 no smoking cessation	pcoa1	-6.0661114020995	control vs M6
M6 no smoking cessation	pcoa2	5.54905084760046	control vs M6
M6 smoking cessation	pcoa1	-5.07008738280137	control vs M6
M6 smoking cessation	pcoa2	6.11078085422332	control vs M6
M6 smoking cessation	pcoa1	2.7476064106537	control vs M6
M6 smoking cessation	pcoa2	2.87309613255126	control vs M6
