factor	view	value	group
Factor11	Saliva microbiome: families	1.78813934326172e-05	S
Factor12	Saliva microbiome: families	5.96046447753906e-06	S
Factor13	Saliva microbiome: families	1.78813934326172e-05	S
Factor14	Saliva microbiome: families	5.96046447753906e-06	S
Factor15	Saliva microbiome: families	5.96046447753906e-06	S
Factor1	Saliva nuclear magnetic resonance: normalized	0.00244379043579102	S
Factor2	Saliva nuclear magnetic resonance: normalized	0.00657439231872559	S
Factor3	Saliva nuclear magnetic resonance: normalized	0.00109076499938965	S
Factor4	Saliva nuclear magnetic resonance: normalized	0.000596046447753906	S
Factor5	Saliva nuclear magnetic resonance: normalized	0.000846385955810547	S
Factor6	Saliva nuclear magnetic resonance: normalized	20.1365232467651	S
Factor7	Saliva nuclear magnetic resonance: normalized	0.00462532043457031	S
Factor8	Saliva nuclear magnetic resonance: normalized	0.00125765800476074	S
Factor9	Saliva nuclear magnetic resonance: normalized	0.0027775764465332	S
Factor10	Saliva nuclear magnetic resonance: normalized	0.000876188278198242	S
Factor11	Saliva nuclear magnetic resonance: normalized	0.00377893447875977	S
Factor12	Saliva nuclear magnetic resonance: normalized	0.0287830829620361	S
Factor13	Saliva nuclear magnetic resonance: normalized	0.000911951065063477	S
Factor14	Saliva nuclear magnetic resonance: normalized	0.00603795051574707	S
Factor15	Saliva nuclear magnetic resonance: normalized	0.00795125961303711	S
Factor1	Stool microbiome: families	0	S
Factor2	Stool microbiome: families	0	S
Factor3	Stool microbiome: families	0	S
Factor4	Stool microbiome: families	0	S
Factor5	Stool microbiome: families	0	S
Factor6	Stool microbiome: families	0	S
Factor7	Stool microbiome: families	0	S
Factor8	Stool microbiome: families	0	S
Factor9	Stool microbiome: families	0	S
Factor10	Stool microbiome: families	0	S
Factor11	Stool microbiome: families	0	S
Factor12	Stool microbiome: families	0	S
Factor13	Stool microbiome: families	0	S
Factor14	Stool microbiome: families	0	S
Factor15	Stool microbiome: families	0	S
Factor1	Urine nuclear magnetic resonance: normalized	1.55922770500183	S
Factor2	Urine nuclear magnetic resonance: normalized	0.00321865081787109	S
Factor3	Urine nuclear magnetic resonance: normalized	0.0234544277191162	S
Factor4	Urine nuclear magnetic resonance: normalized	0.00473856925964355	S
Factor5	Urine nuclear magnetic resonance: normalized	0.0891029834747314	S
Factor6	Urine nuclear magnetic resonance: normalized	0.000661611557006836	S
Factor7	Urine nuclear magnetic resonance: normalized	0.323086977005005	S
Factor8	Urine nuclear magnetic resonance: normalized	1.2799084186554	S
Factor9	Urine nuclear magnetic resonance: normalized	0.132912397384644	S
Factor10	Urine nuclear magnetic resonance: normalized	0.0115931034088135	S
Factor11	Urine nuclear magnetic resonance: normalized	0.066530704498291	S
Factor12	Urine nuclear magnetic resonance: normalized	1.86430215835571	S
Factor13	Urine nuclear magnetic resonance: normalized	14.7618055343628	S
Factor14	Urine nuclear magnetic resonance: normalized	0.00437498092651367	S
Factor15	Urine nuclear magnetic resonance: normalized	0.526213645935059	S
