threshold	specificity	sensitivity
-Inf	0	1
0.937374817586949	0.0103092783505155	1
0.95521987978685	0.0206185567010309	1
0.974593060804737	0.0309278350515464	1
0.994726830605762	0.0412371134020619	1
1.01632795803056	0.0515463917525773	1
1.03819863205501	0.0618556701030928	1
1.05054118967917	0.0721649484536082	1
1.05180499783677	0.0824742268041237	1
1.05568599748335	0.0927835051546392	1
1.06098006670886	0.103092783505155	1
1.06373916501911	0.11340206185567	1
1.06715693957124	0.123711340206186	1
1.0699949548704	0.134020618556701	1
1.07079893728257	0.144329896907216	1
1.07411431655111	0.154639175257732	1
1.07745796293753	0.164948453608247	1
1.08246196116781	0.175257731958763	1
1.09159590924701	0.185567010309278	1
1.0976883227471	0.195876288659794	1
1.10167604918257	0.206185567010309	1
1.10935486838571	0.216494845360825	1
1.11582461338516	0.22680412371134	1
1.11873117932142	0.237113402061856	1
1.1222147720453	0.247422680412371	1
1.12770580758742	0.257731958762887	1
1.13542675422931	0.268041237113402	1
1.14038725596503	0.278350515463918	1
1.14207714062285	0.288659793814433	1
1.14574121158403	0.298969072164948	1
1.15009642033228	0.309278350515464	1
1.15181540536246	0.319587628865979	1
1.15328881204502	0.329896907216495	1
1.15542256327665	0.34020618556701	1
1.15725084083821	0.350515463917526	1
1.15998736664823	0.360824742268041	1
1.16297970261572	0.371134020618557	1
1.16479420125954	0.381443298969072	1
1.16781019097729	0.391752577319588	1
1.16999707166595	0.402061855670103	1
1.17387285648903	0.412371134020619	1
1.17800981788641	0.422680412371134	1
1.17884433378609	0.43298969072165	1
1.17979649896795	0.443298969072165	1
1.18023230517589	0.45360824742268	1
1.18048143386625	0.45360824742268	0.971428571428571
1.18216622826555	0.463917525773196	0.971428571428571
1.18385719528485	0.474226804123711	0.971428571428571
1.18967671762106	0.484536082474227	0.971428571428571
1.19539840426549	0.494845360824742	0.971428571428571
1.19607549088476	0.505154639175258	0.971428571428571
1.20048255534126	0.515463917525773	0.971428571428571
1.20901707465851	0.525773195876289	0.971428571428571
1.21378622407416	0.536082474226804	0.971428571428571
1.21418062893345	0.54639175257732	0.971428571428571
1.21884996015336	0.556701030927835	0.971428571428571
1.22399915356321	0.56701030927835	0.971428571428571
1.22808949649729	0.56701030927835	0.942857142857143
1.23348768744924	0.577319587628866	0.942857142857143
1.23593358535927	0.587628865979381	0.942857142857143
1.23646020890341	0.597938144329897	0.942857142857143
1.23877856833416	0.608247422680412	0.942857142857143
1.2442627501613	0.618556701030928	0.942857142857143
1.24842388457858	0.628865979381443	0.942857142857143
1.24949482537597	0.639175257731959	0.942857142857143
1.25066529155695	0.649484536082474	0.942857142857143
